,rank,country,democracy_index,electoral_processand_pluralism,functioning_of_government,political_participation,political_culture,civil_liberties,category
84,85,Honduras,5.63,8.50,4.64,4.44,4.38,6.18,Hybrid regime
85,86,Zambia,5.61,6.17,4.64,3.89,6.88,6.47,Hybrid regime
86,87,Guatemala,5.60,7.92,5.36,3.89,4.38,6.47,Hybrid regime
87,88,Bangladesh,5.57,7.83,5.07,5.56,4.38,5.00,Hybrid regime
88,89,Georgia,5.50,7.83,3.57,6.11,4.38,5.59,Hybrid regime
89,90,Malawi,5.49,6.58,4.29,4.44,6.25,5.88,Hybrid regime
90,=91,Tanzania,5.41,7.00,5.00,5.00,5.63,4.41,Hybrid regime
91,=91,Mali,5.41,7.42,3.93,3.89,5.63,6.18,Hybrid regime
92,93,Liberia,5.35,7.42,2.57,5.56,5.63,5.59,Hybrid regime
93,94,Bhutan,5.30,8.75,6.79,2.78,4.38,3.82,Hybrid regime
94,95,Madagascar,5.22,6.08,3.57,6.11,5.63,4.71,Hybrid regime
95,96,Uganda,5.20,5.25,3.57,4.44,6.88,5.88,Hybrid regime
96,97,Nepal,5.18,4.33,5.36,5.00,5.63,5.59,Hybrid regime
97,=98,Kenya,5.11,3.50,5.36,6.67,5.63,4.41,Hybrid regime
98,=98,Kyrgyzstan,5.11,6.58,2.93,6.67,4.38,5.00,Hybrid regime
99,100,Morocco,4.99,5.25,4.64,5.00,5.63,4.41,Hybrid regime
100,101,Bosnia and Herzegovina,4.98,6.50,2.93,5.56,3.75,6.18,Hybrid regime
101,102,Haiti,4.91,5.58,2.93,3.89,6.25,5.88,Hybrid regime
102,103,Armenia,4.79,5.67,4.64,5.56,2.50,5.59,Hybrid regime
103,104,Burkina Faso,4.75,4.42,4.29,4.44,5.63,5.00,Hybrid regime
104,105,Sierra Leone,4.66,6.58,1.86,3.33,6.25,5.29,Hybrid regime
105,=106,Lebanon,4.63,3.92,2.21,6.67,5.63,4.71,Hybrid regime
106,=106,Thailand,4.63,3.00,4.29,5.00,5.00,5.88,Hybrid regime
107,108,Nigeria,4.44,6.08,4.64,3.33,3.75,4.41,Hybrid regime
108,109,Palestine,4.39,3.83,2.14,7.78,4.38,3.82,Hybrid regime
109,110,Turkey,4.37,4.50,5.00,5.00,5.00,2.35,Hybrid regime
110,111,Gambia,4.31,4.48,4.29,3.33,5.63,3.82,Hybrid regime
111,112,Pakistan,4.17,6.08,5.36,2.22,2.50,4.71,Hybrid regime
112,113,Ivory Coast,4.15,4.83,2.86,3.33,5.63,4.12,Hybrid regime
113,114,Iraq,4.06,4.75,0.07,6.67,5.00,3.82,Hybrid regime
114,115,Jordan,3.93,3.58,4.29,3.89,4.38,3.53,Authoritarian
115,=116,Mozambique,3.85,3.58,2.14,5.00,5.00,3.53,Authoritarian
116,=116,Kuwait,3.85,3.17,4.29,3.89,4.38,3.53,Authoritarian
117,118,Myanmar,3.83,3.67,3.93,3.89,5.63,2.06,Authoritarian
118,119,Mauritania,3.82,3.00,3.57,5.00,3.13,4.41,Authoritarian
119,120,Niger,3.76,5.25,1.14,3.33,4.38,4.71,Authoritarian
120,121,Comoros,3.71,4.33,2.21,4.44,3.75,3.82,Authoritarian
121,122,Nicaragua,3.63,2.67,1.86,3.89,5.63,4.12,Authoritarian
122,123,Angola,3.62,1.75,2.86,5.56,5.00,2.94,Authoritarian
123,124,Gabon,3.61,2.58,2.21,4.44,5.00,3.82,Authoritarian
124,125,Cambodia,3.59,1.33,5.00,2.78,5.63,3.24,Authoritarian
125,126,Algeria,3.50,2.58,2.21,3.89,5.00,3.82,Authoritarian
126,127,Egypt,3.36,3.58,3.21,3.33,3.75,2.94,Authoritarian
127,=128,Ethiopia,3.35,0.00,3.57,5.56,5.00,2.65,Authoritarian
128,=128,Rwanda,3.35,1.67,5.00,2.78,4.38,2.94,Authoritarian
129,130,China,3.32,0.00,5.00,3.89,6.25,1.47,Authoritarian
130,131,Republic of the Congo,3.31,3.17,2.50,3.89,3.75,3.24,Authoritarian
131,132,Cameroon,3.28,3.17,2.86,3.33,4.38,2.65,Authoritarian
132,133,Qatar,3.19,0.00,4.29,2.22,5.63,3.82,Authoritarian
133,=134,Zimbabwe,3.16,0.50,2.00,4.44,5.63,3.24,Authoritarian
134,=134,Venezuela,3.16,1.67,1.79,4.44,4.38,3.53,Authoritarian
135,136,Guinea,3.14,3.50,0.43,4.44,4.38,2.94,Authoritarian
136,137,Belarus,3.13,0.92,2.86,3.89,5.63,2.35,Authoritarian
137,138,Togo,3.10,3.17,0.79,3.33,5.00,3.24,Authoritarian
138,139,Vietnam,3.08,0.00,3.21,3.89,5.63,2.65,Authoritarian
139,140,Oman,3.04,0.00,3.93,2.78,4.38,4.12,Authoritarian
140,141,Swaziland,3.03,0.92,2.86,2.22,5.63,3.53,Authoritarian
141,142,Cuba,3.00,1.08,3.57,3.33,4.38,2.65,Authoritarian
142,143,Afghanistan,2.97,2.92,1.14,4.44,2.50,3.82,Authoritarian
143,=144,Kazakhstan,2.94,0.50,2.14,4.44,4.38,3.24,Authoritarian
144,=144,Russia,2.94,2.17,1.79,5.00,2.50,3.24,Authoritarian
145,146,Djibouti,2.87,0.42,1.79,3.89,5.63,2.65,Authoritarian
146,147,United Arab Emirates,2.76,0.00,3.93,2.22,5.00,2.65,Authoritarian
147,148,Bahrain,2.71,0.83,3.21,2.78,4.38,2.35,Authoritarian
148,149,Azerbaijan,2.65,0.50,2.14,3.33,3.75,3.53,Authoritarian
149,150,Iran,2.45,0.00,3.21,4.44,3.13,1.47,Authoritarian
150,=151,Eritrea,2.37,0.00,2.14,1.67,6.88,1.18,Authoritarian
151,=151,Laos,2.37,0.83,2.86,1.67,5.00,1.47,Authoritarian
152,153,Burundi,2.33,0.00,0.43,3.89,5.00,2.35,Authoritarian
153,154,Libya,2.19,1.00,0.36,1.67,5.00,2.94,Authoritarian
154,155,Sudan,2.15,0.00,1.79,2.78,5.00,1.18,Authoritarian
155,156,Uzbekistan,2.01,0.08,1.86,2.22,5.00,0.88,Authoritarian
156,157,Guinea-Bissau,1.98,1.67,0.00,2.78,3.13,2.35,Authoritarian
157,158,Yemen,1.95,0.00,0.00,3.89,5.00,0.88,Authoritarian
158,=159,Saudi Arabia,1.93,0.00,2.86,2.22,3.13,1.47,Authoritarian
159,=159,Tajikistan,1.93,0.08,0.79,1.67,6.25,0.88,Authoritarian
160,161,Equatorial Guinea,1.92,0.00,0.43,3.33,4.38,1.47,Authoritarian
161,162,Turkmenistan,1.72,0.00,0.79,2.22,5.00,0.59,Authoritarian
162,163,Chad,1.61,0.00,0.00,1.67,3.75,2.65,Authoritarian
163,164,Central African Republic,1.52,2.25,0.00,1.11,1.88,2.35,Authoritarian
164,165,Democratic Republic of the Congo,1.49,0.50,0.71,2.22,3.13,0.88,Authoritarian
165,166,Syria,1.43,0.00,0.00,2.78,4.38,0.00,Authoritarian
166,167,North Korea,1.08,0.00,2.50,1.67,1.25,0.00,Authoritarian
