Product_Code,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,MIN,MAX,Normalized 0,Normalized 1,Normalized 2,Normalized 3,Normalized 4,Normalized 5,Normalized 6,Normalized 7,Normalized 8,Normalized 9,Normalized 10,Normalized 11,Normalized 12,Normalized 13,Normalized 14,Normalized 15,Normalized 16,Normalized 17,Normalized 18,Normalized 19,Normalized 20,Normalized 21,Normalized 22,Normalized 23,Normalized 24,Normalized 25,Normalized 26,Normalized 27,Normalized 28,Normalized 29,Normalized 30,Normalized 31,Normalized 32,Normalized 33,Normalized 34,Normalized 35,Normalized 36,Normalized 37,Normalized 38,Normalized 39,Normalized 40,Normalized 41,Normalized 42,Normalized 43,Normalized 44,Normalized 45,Normalized 46,Normalized 47,Normalized 48,Normalized 49,Normalized 50,Normalized 51
P19,26,31,45,36,31,28,28,34,42,40,43,35,30,33,40,45,48,35,30,29,39,41,30,34,28,22,31,29,30,34,26,28,32,31,27,40,33,34,31,19,48,21,31,19,24,32,36,30,33,29,27,29,19,48,0.24,0.41,0.90,0.59,0.41,0.31,0.31,0.52,0.79,0.72,0.83,0.55,0.38,0.48,0.72,0.90,1.00,0.55,0.38,0.34,0.69,0.76,0.38,0.52,0.31,0.10,0.41,0.34,0.38,0.52,0.24,0.31,0.45,0.41,0.28,0.72,0.48,0.52,0.41,0.00,1.00,0.07,0.41,0.00,0.17,0.45,0.59,0.38,0.48,0.34,0.28,0.34
P20,13,17,11,10,7,11,17,8,12,10,8,9,8,10,10,13,11,10,7,8,8,8,9,7,10,8,8,9,8,9,7,7,5,5,4,5,8,8,9,8,9,9,7,8,8,9,17,2,9,6,12,9,2,17,0.73,1.00,0.60,0.53,0.33,0.60,1.00,0.40,0.67,0.53,0.40,0.47,0.40,0.53,0.53,0.73,0.60,0.53,0.33,0.40,0.40,0.40,0.47,0.33,0.53,0.40,0.40,0.47,0.40,0.47,0.33,0.33,0.20,0.20,0.13,0.20,0.40,0.40,0.47,0.40,0.47,0.47,0.33,0.40,0.40,0.47,1.00,0.00,0.47,0.27,0.67,0.47
P21,12,5,9,8,9,6,10,13,6,12,13,10,15,12,8,12,12,9,12,8,9,13,10,7,9,4,11,3,3,3,7,6,9,9,14,10,7,7,7,8,7,8,13,5,8,10,10,11,11,12,5,5,3,15,0.75,0.17,0.50,0.42,0.50,0.25,0.58,0.83,0.25,0.75,0.83,0.58,1.00,0.75,0.42,0.75,0.75,0.50,0.75,0.42,0.50,0.83,0.58,0.33,0.50,0.08,0.67,0.00,0.00,0.00,0.33,0.25,0.50,0.50,0.92,0.58,0.33,0.33,0.33,0.42,0.33,0.42,0.83,0.17,0.42,0.58,0.58,0.67,0.67,0.75,0.17,0.17
P22,8,14,8,9,17,6,17,15,11,13,9,18,5,8,12,6,17,9,10,6,9,17,10,9,9,1,4,4,10,9,9,5,5,7,10,11,8,8,11,10,9,6,7,3,7,12,11,15,13,4,11,5,1,18,0.41,0.76,0.41,0.47,0.94,0.29,0.94,0.82,0.59,0.71,0.47,1.00,0.24,0.41,0.65,0.29,0.94,0.47,0.53,0.29,0.47,0.94,0.53,0.47,0.47,0.00,0.18,0.18,0.53,0.47,0.47,0.24,0.24,0.35,0.53,0.59,0.41,0.41,0.59,0.53,0.47,0.29,0.35,0.12,0.35,0.65,0.59,0.82,0.71,0.18,0.59,0.24
P23,3,5,4,3,3,2,5,4,5,5,7,7,5,4,6,6,6,8,4,4,3,3,3,4,9,4,6,5,4,3,2,3,1,3,4,5,6,5,2,5,3,6,3,3,4,5,2,1,6,2,4,0,0,9,0.33,0.56,0.44,0.33,0.33,0.22,0.56,0.44,0.56,0.56,0.78,0.78,0.56,0.44,0.67,0.67,0.67,0.89,0.44,0.44,0.33,0.33,0.33,0.44,1.00,0.44,0.67,0.56,0.44,0.33,0.22,0.33,0.11,0.33,0.44,0.56,0.67,0.56,0.22,0.56,0.33,0.67,0.33,0.33,0.44,0.56,0.22,0.11,0.67,0.22,0.44,0.00
P24,36,42,27,33,40,48,38,39,41,39,44,35,53,52,43,45,41,42,43,26,35,29,48,24,33,34,23,24,26,28,32,34,38,40,32,31,50,36,43,42,32,32,38,36,39,32,31,39,23,40,32,14,14,53,0.56,0.72,0.33,0.49,0.67,0.87,0.62,0.64,0.69,0.64,0.77,0.54,1.00,0.97,0.74,0.79,0.69,0.72,0.74,0.31,0.54,0.38,0.87,0.26,0.49,0.51,0.23,0.26,0.31,0.36,0.46,0.51,0.62,0.67,0.46,0.44,0.92,0.56,0.74,0.72,0.46,0.46,0.62,0.56,0.64,0.46,0.44,0.64,0.23,0.67,0.46,0.00
P25,26,28,33,32,20,33,42,29,24,32,45,41,35,39,32,36,31,32,48,26,34,30,36,31,34,19,19,27,28,32,21,24,34,26,38,32,26,22,27,32,37,29,32,27,40,33,29,35,30,29,25,20,19,48,0.24,0.31,0.48,0.45,0.03,0.48,0.79,0.34,0.17,0.45,0.90,0.76,0.55,0.69,0.45,0.59,0.41,0.45,1.00,0.24,0.52,0.38,0.59,0.41,0.52,0.00,0.00,0.28,0.31,0.45,0.07,0.17,0.52,0.24,0.66,0.45,0.24,0.10,0.28,0.45,0.62,0.34,0.45,0.28,0.72,0.48,0.34,0.55,0.38,0.34,0.21,0.03
P26,14,14,9,8,9,7,9,11,10,14,16,7,15,8,18,8,11,12,9,15,16,20,7,10,12,9,9,9,5,8,10,10,10,7,6,6,11,7,10,8,10,5,15,5,9,3,13,9,10,11,10,21,3,21,0.61,0.61,0.33,0.28,0.33,0.22,0.33,0.44,0.39,0.61,0.72,0.22,0.67,0.28,0.83,0.28,0.44,0.50,0.33,0.67,0.72,0.94,0.22,0.39,0.50,0.33,0.33,0.33,0.11,0.28,0.39,0.39,0.39,0.22,0.17,0.17,0.44,0.22,0.39,0.28,0.39,0.11,0.67,0.11,0.33,0.00,0.56,0.33,0.39,0.44,0.39,1.00
P27,44,34,33,39,34,30,47,27,45,39,47,39,35,47,29,45,52,38,51,38,41,21,33,33,25,27,32,42,26,33,26,26,32,31,26,38,46,28,30,31,41,21,40,33,32,26,26,29,44,30,34,28,21,52,0.74,0.42,0.39,0.58,0.42,0.29,0.84,0.19,0.77,0.58,0.84,0.58,0.45,0.84,0.26,0.77,1.00,0.55,0.97,0.55,0.65,0.00,0.39,0.39,0.13,0.19,0.35,0.68,0.16,0.39,0.16,0.16,0.35,0.32,0.16,0.55,0.81,0.23,0.29,0.32,0.65,0.00,0.61,0.39,0.35,0.16,0.16,0.26,0.74,0.29,0.42,0.23
P28,34,32,36,41,31,31,32,29,43,33,37,44,37,27,36,38,24,36,30,32,29,40,41,36,33,22,28,23,35,36,33,32,24,31,22,33,37,34,33,29,36,33,32,35,41,34,29,30,27,26,34,25,22,44,0.55,0.45,0.64,0.86,0.41,0.41,0.45,0.32,0.95,0.50,0.68,1.00,0.68,0.23,0.64,0.73,0.09,0.64,0.36,0.45,0.32,0.82,0.86,0.64,0.50,0.00,0.27,0.05,0.59,0.64,0.50,0.45,0.09,0.41,0.00,0.50,0.68,0.55,0.50,0.32,0.64,0.50,0.45,0.59,0.86,0.55,0.32,0.36,0.23,0.18,0.55,0.14
P29,13,10,12,17,17,11,15,16,10,12,18,6,14,12,11,10,19,25,9,17,12,15,16,11,14,15,4,13,12,10,7,10,7,19,10,5,14,7,11,10,11,14,10,13,6,9,5,12,15,11,10,16,4,25,0.43,0.29,0.38,0.62,0.62,0.33,0.52,0.57,0.29,0.38,0.67,0.10,0.48,0.38,0.33,0.29,0.71,1.00,0.24,0.62,0.38,0.52,0.57,0.33,0.48,0.52,0.00,0.43,0.38,0.29,0.14,0.29,0.14,0.71,0.29,0.05,0.48,0.14,0.33,0.29,0.33,0.48,0.29,0.43,0.10,0.24,0.05,0.38,0.52,0.33,0.29,0.57
P30,46,36,45,34,35,36,43,28,26,33,46,42,41,42,37,38,40,35,29,31,43,29,39,35,35,20,16,29,38,28,24,29,34,18,29,31,25,41,36,27,26,40,18,32,35,39,32,29,23,28,18,21,16,46,1.00,0.67,0.97,0.60,0.63,0.67,0.90,0.40,0.33,0.57,1.00,0.87,0.83,0.87,0.70,0.73,0.80,0.63,0.43,0.50,0.90,0.43,0.77,0.63,0.63,0.13,0.00,0.43,0.73,0.40,0.27,0.43,0.60,0.07,0.43,0.50,0.30,0.83,0.67,0.37,0.33,0.80,0.07,0.53,0.63,0.77,0.53,0.43,0.23,0.40,0.07,0.17
P31,7,17,6,7,9,7,11,10,13,9,4,15,10,7,10,9,11,8,14,9,10,3,3,1,8,10,5,6,14,9,12,8,9,5,10,6,14,10,6,12,11,11,8,5,7,9,3,9,6,8,4,7,1,17,0.38,1.00,0.31,0.38,0.50,0.38,0.63,0.56,0.75,0.50,0.19,0.88,0.56,0.38,0.56,0.50,0.63,0.44,0.81,0.50,0.56,0.13,0.13,0.00,0.44,0.56,0.25,0.31,0.81,0.50,0.69,0.44,0.50,0.25,0.56,0.31,0.81,0.56,0.31,0.69,0.63,0.63,0.44,0.25,0.38,0.50,0.13,0.50,0.31,0.44,0.19,0.38
P32,15,13,10,4,13,7,10,12,11,15,5,15,8,10,7,16,11,10,7,11,6,8,5,3,12,10,9,9,6,7,13,7,12,15,7,6,9,6,6,9,11,5,5,11,12,8,12,11,4,6,6,7,3,16,0.92,0.77,0.54,0.08,0.77,0.31,0.54,0.69,0.62,0.92,0.15,0.92,0.38,0.54,0.31,1.00,0.62,0.54,0.31,0.62,0.23,0.38,0.15,0.00,0.69,0.54,0.46,0.46,0.23,0.31,0.77,0.31,0.69,0.92,0.31,0.23,0.46,0.23,0.23,0.46,0.62,0.15,0.15,0.62,0.69,0.38,0.69,0.62,0.08,0.23,0.23,0.31
P33,15,12,11,17,10,18,11,16,8,6,11,10,18,10,14,13,13,12,14,10,10,11,14,11,10,17,8,13,6,16,9,4,12,10,19,9,7,5,10,8,11,5,11,13,11,11,11,14,15,16,17,11,4,19,0.73,0.53,0.47,0.87,0.40,0.93,0.47,0.80,0.27,0.13,0.47,0.40,0.93,0.40,0.67,0.60,0.60,0.53,0.67,0.40,0.40,0.47,0.67,0.47,0.40,0.87,0.27,0.60,0.13,0.80,0.33,0.00,0.53,0.40,1.00,0.33,0.20,0.07,0.40,0.27,0.47,0.07,0.47,0.60,0.47,0.47,0.47,0.67,0.73,0.80,0.87,0.47
P34,47,42,24,55,42,23,41,51,45,29,51,40,28,48,35,40,38,36,53,38,39,41,31,43,33,30,27,37,34,37,38,39,23,33,41,38,28,35,33,33,35,34,29,25,38,46,46,34,34,45,41,26,23,55,0.75,0.59,0.03,1.00,0.59,0.00,0.56,0.88,0.69,0.19,0.88,0.53,0.16,0.78,0.38,0.53,0.47,0.41,0.94,0.47,0.50,0.56,0.25,0.63,0.31,0.22,0.13,0.44,0.34,0.44,0.47,0.50,0.00,0.31,0.56,0.47,0.16,0.38,0.31,0.31,0.38,0.34,0.19,0.06,0.47,0.72,0.72,0.34,0.34,0.69,0.56,0.09
P35,34,37,26,27,49,48,36,34,28,41,41,35,29,42,41,31,38,27,36,36,39,42,35,38,35,24,32,32,41,33,32,29,45,26,26,35,34,40,33,42,35,37,43,33,28,25,31,44,24,25,43,28,24,49,0.40,0.52,0.08,0.12,1.00,0.96,0.48,0.40,0.16,0.68,0.68,0.44,0.20,0.72,0.68,0.28,0.56,0.12,0.48,0.48,0.60,0.72,0.44,0.56,0.44,0.00,0.32,0.32,0.68,0.36,0.32,0.20,0.84,0.08,0.08,0.44,0.40,0.64,0.36,0.72,0.44,0.52,0.76,0.36,0.16,0.04,0.28,0.80,0.00,0.04,0.76,0.16
P36,41,32,39,45,38,40,39,39,27,48,47,35,61,34,37,47,30,46,41,45,38,39,39,34,37,24,35,22,39,39,32,40,34,23,21,39,25,22,34,33,38,31,26,37,27,29,50,31,31,28,36,19,19,61,0.52,0.31,0.48,0.62,0.45,0.50,0.48,0.48,0.19,0.69,0.67,0.38,1.00,0.36,0.43,0.67,0.26,0.64,0.52,0.62,0.45,0.48,0.48,0.36,0.43,0.12,0.38,0.07,0.48,0.48,0.31,0.50,0.36,0.10,0.05,0.48,0.14,0.07,0.36,0.33,0.45,0.29,0.17,0.43,0.19,0.24,0.74,0.29,0.29,0.21,0.40,0.00
P37,36,39,43,42,38,37,31,26,36,29,31,36,46,25,51,44,42,52,40,56,46,45,38,38,40,22,30,27,29,32,35,31,28,35,32,40,33,44,30,30,44,31,35,32,34,40,27,27,30,27,37,29,22,56,0.41,0.50,0.62,0.59,0.47,0.44,0.26,0.12,0.41,0.21,0.26,0.41,0.71,0.09,0.85,0.65,0.59,0.88,0.53,1.00,0.71,0.68,0.47,0.47,0.53,0.00,0.24,0.15,0.21,0.29,0.38,0.26,0.18,0.38,0.29,0.53,0.32,0.65,0.24,0.24,0.65,0.26,0.38,0.29,0.35,0.53,0.15,0.15,0.24,0.15,0.44,0.21
P38,37,36,43,52,61,50,35,52,49,46,53,57,35,33,42,41,31,43,36,42,27,36,30,39,41,21,31,21,30,20,34,36,35,40,34,27,29,35,40,20,23,27,41,38,37,35,32,28,48,35,24,24,20,61,0.41,0.39,0.56,0.78,1.00,0.73,0.37,0.78,0.71,0.63,0.80,0.90,0.37,0.32,0.54,0.51,0.27,0.56,0.39,0.54,0.17,0.39,0.24,0.46,0.51,0.02,0.27,0.02,0.24,0.00,0.34,0.39,0.37,0.49,0.34,0.17,0.22,0.37,0.49,0.00,0.07,0.17,0.51,0.44,0.41,0.37,0.29,0.20,0.68,0.37,0.10,0.10
P39,31,21,28,39,53,39,25,31,43,40,41,43,47,35,36,34,35,40,54,38,34,34,30,44,33,28,22,24,31,21,41,26,30,44,30,20,28,23,42,21,30,30,45,34,28,37,40,30,33,32,33,25,20,54,0.32,0.03,0.24,0.56,0.97,0.56,0.15,0.32,0.68,0.59,0.62,0.68,0.79,0.44,0.47,0.41,0.44,0.59,1.00,0.53,0.41,0.41,0.29,0.71,0.38,0.24,0.06,0.12,0.32,0.03,0.62,0.18,0.29,0.71,0.29,0.00,0.24,0.09,0.65,0.03,0.29,0.29,0.74,0.41,0.24,0.50,0.59,0.29,0.38,0.35,0.38,0.15
P40,41,27,27,51,37,38,48,40,39,40,47,31,48,43,37,45,47,39,50,38,38,44,33,27,39,23,22,29,24,36,33,33,32,38,32,30,32,34,41,47,28,26,23,38,36,40,44,39,37,24,27,22,22,51,0.66,0.17,0.17,1.00,0.52,0.55,0.90,0.62,0.59,0.62,0.86,0.31,0.90,0.72,0.52,0.79,0.86,0.59,0.97,0.55,0.55,0.76,0.38,0.17,0.59,0.03,0.00,0.24,0.07,0.48,0.38,0.38,0.34,0.55,0.34,0.28,0.34,0.41,0.66,0.86,0.21,0.14,0.03,0.55,0.48,0.62,0.76,0.59,0.52,0.07,0.17,0.00
